outer_fold,h_star,layer_pattern_star,hidden_layers_star,alpha_star,Etest_ann,accuracy_ann
1,22,1,22,1e-06,0.276595744680851,0.723404255319149
2,22,1,22,1e-06,0.19148936170212771,0.8085106382978723
3,22,1,22,1e-06,0.26086956521739135,0.7391304347826086
4,22,1,22,1e-06,0.26086956521739135,0.7391304347826086
5,22,1,22,1e-06,0.32608695652173914,0.6739130434782609
6,22,1,22,1e-06,0.30434782608695654,0.6956521739130435
7,22,1,22,1e-06,0.30434782608695654,0.6956521739130435
8,22,1,22,1e-06,0.30434782608695654,0.6956521739130435
9,22,1,22,1e-06,0.34782608695652173,0.6521739130434783
10,22,1,22,1e-06,0.19565217391304346,0.8043478260869565
