outer_fold,method2_h_star,method2_alpha_star,Etest_method2,lambda_star,Etest_logistic,Etest_baseline
1,16,1e-06,0.3829787234042553,10,0.25531914893617025,0.44680851063829785
2,16,1.0,0.3829787234042553,10,0.25531914893617025,0.23404255319148937
3,24,1e-06,0.26086956521739135,10,0.26086956521739135,0.34782608695652173
4,16,1.0,0.3913043478260869,10,0.23913043478260865,0.3913043478260869
5,24,1.0,0.23913043478260865,10,0.30434782608695654,0.26086956521739135
6,12,1e-06,0.34782608695652173,10,0.28260869565217395,0.34782608695652173
7,24,1e-06,0.32608695652173914,1,0.26086956521739135,0.4130434782608695
8,24,1e-06,0.3695652173913043,10,0.34782608695652173,0.3913043478260869
9,8,1e-06,0.3695652173913043,10,0.30434782608695654,0.32608695652173914
10,24,1e-06,0.34782608695652173,1,0.21739130434782605,0.30434782608695654
